prediction;gold;sentence
negative;positive;for me tvms usually involve jane seymour or jaclyn smith a the mother of a sick child who is dying of a difficult to treat disease all done in such a sugary manner that the audience doesn`t need tissue it need insulin .
positive;positive;"""black water"" is a movie that in a way surprised me, and definitely exceeded my original expectations."
negative;negative;"this ""film"" would make helen keller get up and walk out of the theater.6."
positive;negative;this wa probably one of irwin allen's biggest film and i think he thought a lot of it .
negative;positive;i realise how he felt.returning to the tv series, each episode show evidence of meticulous planning in term of writing and execution in every single scene.
negative;negative;"a pretentious but - to varying degree - watchable collection of mostly pointless ""stories"".but let's start from the top.kaurismaki: if one ever wondered what finnish love/romance wa like, perhaps this dull little oddity is some indication."
positive;negative;that's fine.
negative;positive;many of u will miss his off-balance humor.
positive;positive;aside from the virus, charles korvin is the main villain of the piece, a sheila's greedy and adulterous husband who, rest assured, get everything that's coming to him.
negative;negative;these guy could make a highway between los angeles and la vega in 3 hour equipped only with tablespoons, a compass and a duck!after that hellish obstacle is fixed, master will try to land the plane a heroine pout away.
negative;positive;"the story end with a movement to the next thing, a distinct from resolution, which isn't the author's cup of tea; and those who like their film neatly worked out in the end will be disappointed by the absence of any real surprise."
